"id";"ss";"seite";"autor_vorname";"autor_nachname";"titel";"verlag";"ort";"jahr";"verlag_2";"ort_2";"jahr_2";"weitere";"volltext";"status"
74724;0;129;"Heinrich";"Schmidt";"Der Kampf ums Dasein";"Urania-Verl.";"Jena";"1930";;;;;"Schmidt, Heinrich: Der Kampf ums Dasein. Jena: Urania-Verl. 1930.";"parsed"
74723;0;129;"Heinrich";"Schmidt";"Fruchtbarkeit und Vermehrung";"Urania-Verl.";"Jena";"1927";;;;;"Schmidt, Heinrich: Fruchtbarkeit und Vermehrung. Jena: Urania-Verl. 1927.";"parsed"
74722;0;129;"Harry";"Schmidt";"Das Weltbild der Relativitätstheorie";"Hartung";"Hamburg";"1920";;;;;"Schmidt, Harry: Das Weltbild der Relativitätstheorie. Hamburg: Hartung 1920.";"parsed"
74721;0;129;"Hans";"Schmidt";"Verkehrte Geschlechtsrichtung";"Spohr";"Leipzig";"1928";;;;;"Schmidt, Hans: Verkehrte Geschlechtsrichtung. Leipzig: Spohr 1928.";"parsed"
74720;0;129;"Eleonore";"Schmidt";"Die Wunderweit der Dolomiten";"Sturm & Koppe";"Leipzig";"1932";;;;;"Schmidt, Eleonore: Die Wunderweit der Dolomiten. Leipzig: Sturm & Koppe 1932.";"parsed"
74719;1;129;"Paul";"Schmid-Ammann";"Das Rätsel Deutschland, wie es ein Schweizer sieht";"Europa-Verl.";"Zürich";"1936";;;;;"Schmid-Ammann, Paul: Das Rätsel Deutschland, wie es ein Schweizer sieht. Zürich: Europa-Verl. 1936.";"parsed"
74718;0;129;"Heinz";"Schmid";"Kriegsgewinne und Wirtschaft";"Stalling";"Oldenburg";"1935";;;;;"Schmid, Heinz: Kriegsgewinne und Wirtschaft. Oldenburg: Stalling 1935.";"parsed"
74717;0;129;"Fred";"Schmid";"Aufstand der Jugend";"W. Hoffmann";"Berlin";"1932";;;;;"Schmid, Fred: Aufstand der Jugend. Berlin: W. Hoffmann 1932.";"parsed"
74716;1;129;"Arthur";"Schmid";"Spanien, das Land zwischen Afrika und Europa";"Druckereigenossenschaft";"Aarau";"1937";;;;;"Schmid, Arthur: Spanien, das Land zwischen Afrika und Europa. Aarau: Druckereigenossenschaft 1937.";"parsed"
74715;0;127;"Georgij";"Schilin";"Säumiger Tod. M";"Kittl";"-Ostrau";"1936";;;;;"Schilin, Georgij: Säumiger Tod. M.-Ostrau: Kittl 1936.";"parsed"
74714;0;127;"Victor";"Schiff";"Sämtliche Schriften";;;;;;;;"Schiff, Victor: Sämtliche Schriften.";"parsed"
74713;0;127;"Max";"Schievelkamp";"Königsliebchen";"Vogel & Vogel";"Leipzig";"1921";;;;;"Schievelkamp, Max: Königsliebchen. Leipzig: Vogel & Vogel 1921.";"parsed"
